rxn	LB	UB
MMRNR00001	0	5.5683445038
MMRNR00002	0	5.5348706048
MMRNR00003	0	5.5348706048
MMRNR00004	0	5.5348706048
MMRNR00005	0	5.5348706048
MMRNR00006	0	5.5348706048
MMRNR00007	0	5.5348706048
MMRNR00008	0	5.5348706048
MMRNR00009	0	5.5348706048
MMRNR00010	0	5.5348706048
MMRNR00011	0	5.5348706048
MMRNR00013	0	5.5348706048
MMRNR00014	0	5.5348706048
MMRNR00015	0	5.5348706048
MMRNR00016	0	5.5348706048
MMRNR00017	0	5.5348706048
MMRNR00018	0	5.5348706048
MMRNR00019	0	5.5348706048
MMRNR00020	0	5.5348706048
MMRNR00021	0	5.5348706048
MMRNR00022	0	5.5348706048
MMRNR00023	0	5.5348706048
MMRNR00024	0	5.5348706048
MMRNR00025	0	5.5348706048
MMRNR00026	0	5.5348706048
MMRNR00027	0	5.5348706048
MMRNR00028	0	5.5348706048
MMRNR00029	0	5.5348706048
MMRNR00030	0	5.5348706048
MMRNR00031	0	5.5348706048
MMRNR00032	0	5.5348706048
MMRNR00033	0	5.5348706048
MMRNR00034	0	5.5348706048
MMRNR00035	0	5.5348706048
MMRNR00036	0	5.5348706048
MMRNR00037	0	5.5348706048
MMRNR00038	0	5.5348706048
MMRNR00039	0	5.5348706048
MMRNR00040	0	5.5348706048
MMRNR00041	0	5.5348706048
MMRNR00042	0	5.5348706048
MMRNR00043	0	5.5348706048
MMRNR00044	0	5.5348706048
MMRNR00045	0	5.5348706048
MMRNR00046	0	5.5348706048
MMRNR00047	0	5.5348706048
MMRNR00048	0	5.5348706048
MMRNR00049	0	5.5348706048
MMRNR00050	0	5.5348706048
MMRNR00051	0	5.5348706048
MMRNR00052	0	5.5348706048
MMRNR00053	0	5.5348706048
MMRNR00054	0	5.5348706048
MMRNR00055	0	5.5348706048
MMRNR00056	0	5.5348706048
MMRNR00057	0	5.5348706048
MMRNR00058	0	5.5348706048
MMRNR00059	0	5.5348706048
MMRNR00060	0	5.5348706048
MMRNR00061	0	5.5348706048
MMRNR00062	0	2.302585093
MMRNR00064	0	1000
MMRNR10079	0	5.6374645936
MMRNR10080	0	3.5078071167
MMRNR10081	0	7.0169459502
MMRNR10082	0	4.7812221298
MMRNR10083	0	3.6603513705
MMRNR10084	0	5.4722706737
MMRNR10085	0	7.0169459502
MMRNR10086	0	7.0169459502
MMRNR10087	0	7.0169459502
MMRNR10088	0	7.0169459502
MMRNR10089	0	7.0169459502
MMRNR10090	0	7.0169459502
MMRNR10091	0	7.0169459502
MMRNR10092	0	4.7812221298
MMRNR10093	0	4.7812221298
MMRNR10094	0	4.7812221298
MMRNR10095	0	4.7812221298
MMRNR10096	0	4.7812221298
MMRNR10098	0	3.1832486472
MMRNR00067	0	4.364689715
MMRNR00068	0	7.1255847355
MMRNR00071	-5.4670047321	5.4670047321
MMRNR00073	0	4.1067670822
MMRNR00074	-3.0445224377	3.0445224377
MMRNR00075	-4.0859763126	4.0859763126
MMRNR00076	-4.7307009084	4.7307009084
MMRNR00077	0	3.8501476017
MMRNR00078	-5.7975763539	5.7975763539
MMRNR00079	0	1.558144618
MMRNR00080	0	1000
MMRNR00081	0	1.558144618
MMRNR00082	0	1000
MMRNR00083	-6.3272669166	6.3272669166
MMRNR00084	-6.3272669166	6.3272669166
MMRNR00085	0	7.1255847355
MMRNR00086	0	4.9938281758
MMRNR00087	0	4.0073331852
MMRNR00088	0	5.4670047321
MMRNR00089	0	6.6278760186
MMRNR00090	0	6.6278760186
MMRNR00091	0	6.7647505846
MMRNR00092	0	2.3513752572
MMRNR00093	0	4.836281907
MMRNR00094	-4.7318028369	4.7318028369
MMRNR00095	0	1.3545456628
MMRNR00096	-5.2371066355	5.2371066355
MMRNR00097	0	4.6947823447
MMRNR00098	0	4.6947823447
MMRNR00099	0	4.0073331852
MMRNR00100	0	3.8528036458
MMRNR00101	0	3.8528036458
MMRNR00102	0	2.9177707321
MMRNR00104	-3.0445224377	3.0445224377
MMRNR00106	0	5.7569282189
MMRNR00107	0	4.1743872699
MMRNR00108	0	5.7569282189
MMRNR00109	0	4.1743872699
MMRNR00110	0	2.1252510777
MMRNR00111	0	1000
MMRNR00113	0	0.965080896
MMRNR00114	0	1000
MMRNR00115	0	4.248495242
MMRNR00117	0	3.5589131277
MMRNR00118	0	3.0967081909
MMRNR00119	0	4.3710288805
MMRNR00120	0	2.90416508
MMRNR00121	0	4.7759672569
MMRNR00122	0	4.7759672569
MMRNR00123	0	4.7759672569
MMRNR00124	0	2.647946277
MMRNR00125	0	0.875
MMRNR00128	0	3.7105186292
MMRNR00129	0	4.2591525365
MMRNR00130	0	2.6026896854
MMRNR00137	0	2.647946277
MMRNR00140	0	0.7537718024
MMRNR00142	0	3.7105186292
MMRNR00167	0	4.2591525365
MMRNR00168	0	2.90416508
MMRNR00169	-2.9311937524	2.9311937524
MMRNR00170	0	4.260917762
MMRNR00175	0	2.4952694368
MMRNR00176	-2.3513752572	2.3513752572
MMRNR00177	0	3.5589131277
MMRNR00178	0	2.90416508
MMRNR00179	0	3.0967081909
MMRNR00180	-1.852384091	1.852384091
MMRNR00146	0	3.1832486472
MMRNR00147	0	3.9889840466
MMRNR00148	0	3.6408702349
MMRNR00149	0	4.2921703056
MMRNR00150	0	4.4263425184
MMRNR00151	0	3.1986731176
MMRNR00152	0	3.5589131277
MMRNR00153	0	3.9342736144
MMRNR00154	0	3.1623054734
MMRNR00155	0	3.36729583
MMRNR00156	0	3.6857495611
MMRNR00157	0	6.2789903574
MMRNR00158	0	3.6007310673
MMRNR00159	0	3.36729583
MMRNR00161	0	3.9070104636
MMRNR00162	0	3.9019726696
MMRNR00163	0	3.936715618
MMRNR00164	0	4.2322932675
MMRNR00165	0	2.4638532406
MMRNR00166	0	2.90416508
MMRNR00195	0	2.5839975524
MMRNR00196	0	2.5839975524
MMRNR00199	0	2.5839975524
MMRNR00200	0	2.5839975524
MMRNR00201	0	2.5839975524
MMRNR00204	0	1000
MMRNR00205	0	1000
MMRNR00206	0	0.6286086594
MMRNR00207	0	1000
MMRNR00208	0	1000
MMRNR00209	0	6.5903010482
MMRNR00210	0	6.5903010482
MMRNR00211	0	4.0342406382
MMRNR00212	0	4.0342406382
MMRNR00214	0	1000
MMRNR00215	0	1000
MMRNR00216	0	4.4914414207
MMRNR00217	0	4.4914414207
MMRNR00218	0	7.0859014644
MMRNR00219	0	7.0859014644
MMRNR00223	-1000	1000
MMRNR00269	0	5.7016969682
MMRNR00285	0	0.5596157879
MMRNR00286	0	0.5596157879
MMRNR00352	0	5.6933111748
MMRNR00353	0	4.7926865597
MMRNR00355	0	0.3184537311
MMRNR00359	0	5.4670047321
MMRNR00360	0	5.8582902336
MMRNR00363	0	0.1177830357
MMRNR00364	0	0.1177830357
MMRNR00365	0	1.0116009117
MMRNR00366	0	1.0116009117
MMRNR00367	0	4.2696974497
MMRNR00369	0	4.2696974497
MMRNR00371	0	0.1177830357
MMRNR00372	0	0.1177830357
MMRNR00373	-1.0116009117	1.0116009117
MMRNR00374	-1.0116009117	1.0116009117
MMRNR00375	-1.0116009117	1.0116009117
MMRNR00376	0	1.0116009117
MMRNR00377	-4.7926865597	4.7926865597
MMRNR00378	0	2.8622008809
MMRNR00381	0	4.7926865597
MMRNR00382	-5.6194946581	5.6194946581
MMRNR00383	-4.7926865597	4.7926865597
MMRNR00384	-4.7926865597	4.7926865597
MMRNR00386	0	2.8622008809
MMRNR00387	0	2.8622008809
MMRNR00388	0	2.8622008809
MMRNR00389	-4.2538380865	4.2538380865
MMRNR00390	0	0.6931471806
MMRNR00391	0	3.8394523126
MMRNR00392	0	0.1177830357
MMRNR00393	0	3.4299467949
MMRNR00394	0	2.5745188085
MMRNR00395	0	1.7491998548
MMRNR00396	0	0.3184537311
MMRNR00397	0	3.6276687231
MMRNR00398	0	3.6276687231
MMRNR00400	0	4.0880749492
MMRNR00401	-4.6610778179	4.6610778179
MMRNR00402	0	1000
MMRNR00403	0	3.1623054734
MMRNR00404	0	2.315007613
MMRNR00405	0	2.315007613
MMRNR00406	0	2.8622008809
MMRNR00407	0	2.8622008809
MMRNR00408	-2.8622008809	2.8622008809
MMRNR00409	-2.8622008809	2.8622008809
MMRNR00412	0	4.7926865597
MMRNR00413	0	4.2870289061
MMRNR00414	0	2.4203681287
MMRNR00449	0	2.3272777056
MMRNR00450	-2.3272777056	2.3272777056
MMRNR00451	-1000	1000
MMRNR00454	-4.7926865597	4.7926865597
MMRNR00455	0	4.7926865597
MMRNR00457	-2.386466577	2.386466577
MMRNR00465	0	2.8622008809
MMRNR00466	0	4.2538380865
MMRNR00467	0	4.2538380865
MMRN_Lipid_pool	0	1000
MMRN_Protein_pool	0	1000
MMRN_Nucleotide_pool	0	1000
MMRN_glycogen	0	1000
MMRN_Biomass	0	1000
MMRNR00468	0	1000
MMRNR10760	0	1000
MMRNR00474	0	4.1686013328
MMRNR00487	0	4.0073331852
MMRNR00488	0	6.2531073976
MMRNR00489	0	6.4313310819
MMRNR00490	0	6.3900309135
MMRNR00491	0	6.84468235
MMRNR00492	0	6.6058052347
MMRNR00493	0	5.4935757144
MMRNR00494	-5.7987137948	5.7987137948
MMRNR00495	0	6.997595983
MMRNR00496	0	5.2331119564
MMRNR00497	0	6.997595983
MMRNR00498	0	5.2331119564
MMRNR00499	0	6.997595983
MMRNR00500	0	5.2331119564
MMRNR00501	0	6.2485263166
MMRNR00502	0	5.2331119564
MMRNR00503	0	4.4900398787
MMRNR00504	0	6.997595983
MMRNR00505	0	5.4935757144
MMRNR00506	-6.2485263166	6.2485263166
