rxn	LB	UB
MMRNR00001	0	5.4895278708
MMRNR00002	0	5.4728707337
MMRNR00003	0	5.4728707337
MMRNR00004	0	5.4728707337
MMRNR00005	0	5.4728707337
MMRNR00006	0	5.4728707337
MMRNR00007	0	5.4728707337
MMRNR00008	0	5.4728707337
MMRNR00009	0	5.4728707337
MMRNR00010	0	5.4728707337
MMRNR00011	0	5.4728707337
MMRNR00013	0	5.4728707337
MMRNR00014	0	5.4728707337
MMRNR00015	0	5.4728707337
MMRNR00016	0	5.4728707337
MMRNR00017	0	5.4728707337
MMRNR00018	0	5.4728707337
MMRNR00019	0	5.4728707337
MMRNR00020	0	5.4728707337
MMRNR00021	0	5.4728707337
MMRNR00022	0	5.4728707337
MMRNR00023	0	5.4728707337
MMRNR00024	0	5.4728707337
MMRNR00025	0	5.4728707337
MMRNR00026	0	5.4728707337
MMRNR00027	0	5.4728707337
MMRNR00028	0	5.4728707337
MMRNR00029	0	5.4728707337
MMRNR00030	0	5.4728707337
MMRNR00031	0	5.4728707337
MMRNR00032	0	5.4728707337
MMRNR00033	0	5.4728707337
MMRNR00034	0	5.4728707337
MMRNR00035	0	5.4728707337
MMRNR00036	0	5.4728707337
MMRNR00037	0	5.4728707337
MMRNR00038	0	5.4728707337
MMRNR00039	0	5.4728707337
MMRNR00040	0	5.4728707337
MMRNR00041	0	5.4728707337
MMRNR00042	0	5.4728707337
MMRNR00043	0	5.4728707337
MMRNR00044	0	5.4728707337
MMRNR00045	0	5.4728707337
MMRNR00046	0	5.4728707337
MMRNR00047	0	5.4728707337
MMRNR00048	0	5.4728707337
MMRNR00049	0	5.4728707337
MMRNR00050	0	5.4728707337
MMRNR00051	0	5.4728707337
MMRNR00052	0	5.4728707337
MMRNR00053	0	5.4728707337
MMRNR00054	0	5.4728707337
MMRNR00055	0	5.4728707337
MMRNR00056	0	5.4728707337
MMRNR00057	0	5.4728707337
MMRNR00058	0	5.4728707337
MMRNR00059	0	5.4728707337
MMRNR00060	0	5.4728707337
MMRNR00061	0	5.4728707337
