rxn	LB	UB
MMRNR00001	0	5.0845051427
MMRNR00002	0	4.9904325868
MMRNR00003	0	4.9904325868
MMRNR00004	0	4.9904325868
MMRNR00005	0	4.9904325868
MMRNR00006	0	4.9904325868
MMRNR00007	0	4.9904325868
MMRNR00008	0	4.9904325868
MMRNR00009	0	4.9904325868
MMRNR00010	0	4.9904325868
MMRNR00011	0	4.9904325868
MMRNR00013	0	4.9904325868
MMRNR00014	0	4.9904325868
MMRNR00015	0	4.9904325868
MMRNR00016	0	4.9904325868
MMRNR00017	0	4.9904325868
MMRNR00018	0	4.9904325868
MMRNR00019	0	4.9904325868
MMRNR00020	0	4.9904325868
MMRNR00021	0	4.9904325868
MMRNR00022	0	4.9904325868
MMRNR00023	0	4.9904325868
MMRNR00024	0	4.9904325868
MMRNR00025	0	4.9904325868
MMRNR00026	0	4.9904325868
MMRNR00027	0	4.9904325868
MMRNR00028	0	4.9904325868
MMRNR00029	0	4.9904325868
MMRNR00030	0	4.9904325868
MMRNR00031	0	4.9904325868
MMRNR00032	0	4.9904325868
MMRNR00033	0	4.9904325868
MMRNR00034	0	4.9904325868
MMRNR00035	0	4.9904325868
MMRNR00036	0	4.9904325868
MMRNR00037	0	4.9904325868
MMRNR00038	0	4.9904325868
MMRNR00039	0	4.9904325868
MMRNR00040	0	4.9904325868
MMRNR00041	0	4.9904325868
MMRNR00042	0	4.9904325868
MMRNR00043	0	4.9904325868
MMRNR00044	0	4.9904325868
MMRNR00045	0	4.9904325868
MMRNR00046	0	4.9904325868
MMRNR00047	0	4.9904325868
MMRNR00048	0	4.9904325868
MMRNR00049	0	4.9904325868
MMRNR00050	0	4.9904325868
MMRNR00051	0	4.9904325868
MMRNR00052	0	4.9904325868
MMRNR00053	0	4.9904325868
MMRNR00054	0	4.9904325868
MMRNR00055	0	4.9904325868
MMRNR00056	0	4.9904325868
MMRNR00057	0	4.9904325868
MMRNR00058	0	4.9904325868
MMRNR00059	0	4.9904325868
MMRNR00060	0	4.9904325868
MMRNR00061	0	4.9904325868
MMRNR00062	0	2.1400661635
MMRNR00064	0	1000
MMRNR10079	0	5.7004435734
MMRNR10080	0	4.3241326563
MMRNR10081	0	6.5369331143
MMRNR10082	0	4.3923894217
MMRNR10083	0	3.8918202981
MMRNR10084	0	5.4094114141
MMRNR10085	0	6.5369331143
MMRNR10086	0	6.5369331143
MMRNR10087	0	6.5369331143
MMRNR10088	0	6.5369331143
MMRNR10089	0	6.5369331143
MMRNR10090	0	6.5369331143
MMRNR10091	0	6.5369331143
MMRNR10092	0	4.3923894217
MMRNR10093	0	4.3923894217
MMRNR10094	0	4.3923894217
MMRNR10095	0	4.3923894217
MMRNR10096	0	4.3923894217
MMRNR10098	0	3.2516656477
MMRNR00067	0	4.4087497048
MMRNR00068	0	6.569247639
MMRNR00071	-5.329492984	5.329492984
MMRNR00073	0	4.2195077052
MMRNR00074	-2.9531726591	2.9531726591
MMRNR00075	-3.8536874284	3.8536874284
MMRNR00076	-4.2835865619	4.2835865619
MMRNR00077	0	3.8213686372
MMRNR00078	-5.2747075009	5.2747075009
MMRNR00079	0	1.5755363608
MMRNR00080	0	1000
MMRNR00081	0	1.5755363608
MMRNR00082	0	1000
MMRNR00083	-6.736966958	6.736966958
MMRNR00084	-6.736966958	6.736966958
MMRNR00085	0	6.569247639
MMRNR00086	0	4.8040210447
MMRNR00087	0	3.9982007017
MMRNR00088	0	5.329492984
MMRNR00089	0	6.1858656296
MMRNR00090	0	6.1858656296
MMRNR00091	0	5.9071767306
MMRNR00092	0	2.7408400239
MMRNR00093	0	4.7564596335
MMRNR00094	-4.7332701886	4.7332701886
MMRNR00095	0	2.3826278007
MMRNR00096	-5.4220088389	5.4220088389
MMRNR00097	0	4.6475909019
MMRNR00098	0	4.6475909019
MMRNR00099	0	3.9982007017
MMRNR00100	0	4.5016598096
MMRNR00101	0	4.5016598096
MMRNR00102	0	2.6390573296
MMRNR00104	-2.9531726591	2.9531726591
MMRNR00106	0	6.1751740292
MMRNR00107	0	4.1053943984
MMRNR00108	0	6.1751740292
MMRNR00109	0	4.1053943984
MMRNR00110	0	2.1972245773
MMRNR00111	0	1000
MMRNR00113	0	1.0414538748
MMRNR00114	0	1000
MMRNR00115	0	4.6084979761
MMRNR00117	0	4.0103589061
MMRNR00118	0	2.9087208966
MMRNR00119	0	4.0546793058
MMRNR00120	0	3.1918471525
MMRNR00121	0	4.4905072777
MMRNR00122	0	4.4905072777
MMRNR00123	0	4.4905072777
MMRNR00124	0	3.1208954165
MMRNR00125	0	0.6666666667
MMRNR00128	0	3.8501476017
MMRNR00129	0	4.5053498507
MMRNR00130	0	3.0910424534
MMRNR00137	0	3.1208954165
MMRNR00140	0	1.5404450409
MMRNR00142	0	3.8501476017
MMRNR00167	0	4.5053498507
MMRNR00168	0	3.1918471525
MMRNR00169	-3.5214465098	3.5214465098
MMRNR00170	0	3.8501476017
MMRNR00175	0	3.171085161
MMRNR00176	-2.9531726591	2.9531726591
MMRNR00177	0	4.0103589061
MMRNR00178	0	3.1918471525
MMRNR00179	0	2.9087208966
MMRNR00180	-1.5755363608	1.5755363608
MMRNR00146	0	3.3202283191
MMRNR00147	0	3.817712326
MMRNR00148	0	3.8430301339
MMRNR00149	0	4.5126893332
MMRNR00150	0	4.4524074314
MMRNR00151	0	3.5214465098
MMRNR00152	0	3.7765850345
MMRNR00153	0	4.1324963282
MMRNR00154	0	3.5015453555
MMRNR00155	0	3.48635519
MMRNR00156	0	3.8358616445
MMRNR00157	0	6.5100102939
MMRNR00158	0	3.8430301339
MMRNR00159	0	3.3499040873
MMRNR00161	0	3.9951379121
MMRNR00162	0	4.0859763126
MMRNR00163	0	4.4127982933
MMRNR00164	0	4.2022019581
MMRNR00165	0	2.8233610476
MMRNR00166	0	3.1918471525
MMRNR00195	0	3.4446824936
MMRNR00196	0	3.4446824936
MMRNR00199	0	3.4446824936
MMRNR00200	0	3.4446824936
MMRNR00201	0	3.4446824936
MMRNR00204	0	0.1666666667
MMRNR00205	0	0.1666666667
MMRNR00206	0	0.8472978604
MMRNR00207	0	0.1666666667
MMRNR00208	0	0.1666666667
MMRNR00209	0	6.8576893013
MMRNR00210	0	6.8576893013
MMRNR00211	0	3.6018680771
MMRNR00212	0	3.6018680771
