rxn	LB	UB
MMRNR00001	0	5.5214609179
MMRNR00002	0	5.5080378975
MMRNR00003	0	5.5080378975
MMRNR00004	0	5.5080378975
MMRNR00005	0	5.5080378975
MMRNR00006	0	5.5080378975
MMRNR00007	0	5.5080378975
MMRNR00008	0	5.5080378975
MMRNR00009	0	5.5080378975
MMRNR00010	0	5.5080378975
MMRNR00011	0	5.5080378975
MMRNR00013	0	5.5080378975
MMRNR00014	0	5.5080378975
MMRNR00015	0	5.5080378975
MMRNR00016	0	5.5080378975
MMRNR00017	0	5.5080378975
MMRNR00018	0	5.5080378975
MMRNR00019	0	5.5080378975
MMRNR00020	0	5.5080378975
MMRNR00021	0	5.5080378975
MMRNR00022	0	5.5080378975
MMRNR00023	0	5.5080378975
MMRNR00024	0	5.5080378975
MMRNR00025	0	5.5080378975
MMRNR00026	0	5.5080378975
MMRNR00027	0	5.5080378975
MMRNR00028	0	5.5080378975
MMRNR00029	0	5.5080378975
MMRNR00030	0	5.5080378975
MMRNR00031	0	5.5080378975
MMRNR00032	0	5.5080378975
MMRNR00033	0	5.5080378975
MMRNR00034	0	5.5080378975
MMRNR00035	0	5.5080378975
MMRNR00036	0	5.5080378975
MMRNR00037	0	5.5080378975
MMRNR00038	0	5.5080378975
MMRNR00039	0	5.5080378975
MMRNR00040	0	5.5080378975
MMRNR00041	0	5.5080378975
MMRNR00042	0	5.5080378975
MMRNR00043	0	5.5080378975
MMRNR00044	0	5.5080378975
MMRNR00045	0	5.5080378975
MMRNR00046	0	5.5080378975
MMRNR00047	0	5.5080378975
MMRNR00048	0	5.5080378975
MMRNR00049	0	5.5080378975
MMRNR00050	0	5.5080378975
MMRNR00051	0	5.5080378975
MMRNR00052	0	5.5080378975
MMRNR00053	0	5.5080378975
MMRNR00054	0	5.5080378975
MMRNR00055	0	5.5080378975
MMRNR00056	0	5.5080378975
MMRNR00057	0	5.5080378975
MMRNR00058	0	5.5080378975
MMRNR00059	0	5.5080378975
MMRNR00060	0	5.5080378975
MMRNR00061	0	5.5080378975
MMRNR00062	0	2.3978952728
MMRNR00064	0	1000
MMRNR10079	0	5.3737340058
MMRNR10080	0	1.8458266905
MMRNR10081	0	6.685444714
MMRNR10082	0	4.4735417435
MMRNR10083	0	3.2188758249
MMRNR10084	0	5.0039463059
MMRNR10085	0	6.685444714
MMRNR10086	0	6.685444714
MMRNR10087	0	6.685444714
MMRNR10088	0	6.685444714
MMRNR10089	0	6.685444714
MMRNR10090	0	6.685444714
MMRNR10091	0	6.685444714
MMRNR10092	0	4.4735417435
MMRNR10093	0	4.4735417435
MMRNR10094	0	4.4735417435
MMRNR10095	0	4.4735417435
MMRNR10096	0	4.4735417435
MMRNR10098	0	2.8332133441
MMRNR00067	0	4.5643481915
MMRNR00068	0	7.2315281716
MMRNR00071	-5.1357984371	5.1357984371
MMRNR00073	0	3.4122472178
MMRNR00074	-3.2708355638	3.2708355638
MMRNR00075	-3.9252682322	3.9252682322
MMRNR00076	-5.2149357576	5.2149357576
MMRNR00077	0	3.7297014486
MMRNR00078	-5.9489049327	5.9489049327
MMRNR00079	0	0.5108256238
MMRNR00080	0	1000
MMRNR00081	0	0.5108256238
MMRNR00082	0	1000
MMRNR00083	-5.9964520886	5.9964520886
MMRNR00084	-5.9964520886	5.9964520886
MMRNR00085	0	7.2315281716
MMRNR00086	0	5.8338356029
MMRNR00087	0	3.7917368396
MMRNR00088	0	5.1357984371
MMRNR00089	0	7.0769353074
MMRNR00090	0	7.0769353074
MMRNR00091	0	6.1820849067
MMRNR00092	0	1.6094379124
MMRNR00093	0	4.8751973232
MMRNR00094	-4.238925791	4.238925791
MMRNR00095	0	1.9924301647
MMRNR00096	-4.9698132996	4.9698132996
MMRNR00097	0	4.3351097149
MMRNR00098	0	4.3351097149
MMRNR00099	0	3.7917368396
MMRNR00100	0	3.7689221618
MMRNR00101	0	3.7689221618
MMRNR00102	0	2.302585093
MMRNR00104	-3.2708355638	3.2708355638
MMRNR00106	0	5.1494305858
MMRNR00107	0	4.0998847426
MMRNR00108	0	5.1494305858
MMRNR00109	0	4.0998847426
MMRNR00110	0	1.5404450409
MMRNR00111	0	1000
MMRNR00113	0	1.0
MMRNR00114	0	1000
MMRNR00115	0	3.295836866
MMRNR00117	0	3.4011973817
MMRNR00118	0	2.7300291078
MMRNR00119	0	4.0012541392
MMRNR00120	0	1.8458266905
MMRNR00121	0	4.9320729716
MMRNR00122	0	4.9320729716
MMRNR00123	0	4.9320729716
MMRNR00124	0	2.5649493575
MMRNR00125	0	0.2876820725
MMRNR00128	0	3.4760986898
MMRNR00129	0	3.9318256327
MMRNR00130	0	1.9459101491
MMRNR00137	0	2.5649493575
MMRNR00140	0	0.6666666667
MMRNR00142	0	3.4760986898
MMRNR00167	0	3.9318256327
MMRNR00168	0	1.8458266905
MMRNR00169	-2.9957322736	2.9957322736
MMRNR00170	0	3.9576335167
MMRNR00175	0	2.7300291078
MMRNR00176	-2.5902671654	2.5902671654
