rxn	LB	UB
MMRNR00001	0	5.4606487785
MMRNR00002	0	5.4402508624
MMRNR00003	0	5.4402508624
MMRNR00004	0	5.4402508624
MMRNR00005	0	5.4402508624
MMRNR00006	0	5.4402508624
MMRNR00007	0	5.4402508624
MMRNR00008	0	5.4402508624
MMRNR00009	0	5.4402508624
MMRNR00010	0	5.4402508624
MMRNR00011	0	5.4402508624
MMRNR00013	0	5.4402508624
MMRNR00014	0	5.4402508624
MMRNR00015	0	5.4402508624
MMRNR00016	0	5.4402508624
MMRNR00017	0	5.4402508624
MMRNR00018	0	5.4402508624
MMRNR00019	0	5.4402508624
MMRNR00020	0	5.4402508624
MMRNR00021	0	5.4402508624
MMRNR00022	0	5.4402508624
MMRNR00023	0	5.4402508624
MMRNR00024	0	5.4402508624
MMRNR00025	0	5.4402508624
MMRNR00026	0	5.4402508624
MMRNR00027	0	5.4402508624
MMRNR00028	0	5.4402508624
MMRNR00029	0	5.4402508624
MMRNR00030	0	5.4402508624
MMRNR00031	0	5.4402508624
MMRNR00032	0	5.4402508624
MMRNR00033	0	5.4402508624
MMRNR00034	0	5.4402508624
MMRNR00035	0	5.4402508624
MMRNR00036	0	5.4402508624
MMRNR00037	0	5.4402508624
MMRNR00038	0	5.4402508624
MMRNR00039	0	5.4402508624
MMRNR00040	0	5.4402508624
MMRNR00041	0	5.4402508624
MMRNR00042	0	5.4402508624
MMRNR00043	0	5.4402508624
MMRNR00044	0	5.4402508624
MMRNR00045	0	5.4402508624
MMRNR00046	0	5.4402508624
MMRNR00047	0	5.4402508624
MMRNR00048	0	5.4402508624
MMRNR00049	0	5.4402508624
MMRNR00050	0	5.4402508624
MMRNR00051	0	5.4402508624
MMRNR00052	0	5.4402508624
MMRNR00053	0	5.4402508624
MMRNR00054	0	5.4402508624
MMRNR00055	0	5.4402508624
MMRNR00056	0	5.4402508624
MMRNR00057	0	5.4402508624
MMRNR00058	0	5.4402508624
MMRNR00059	0	5.4402508624
MMRNR00060	0	5.4402508624
MMRNR00061	0	5.4402508624
MMRNR00062	0	2.3978952728
MMRNR00064	0	1000
MMRNR10079	0	5.4992153089
MMRNR10080	0	2.7568403653
MMRNR10081	0	6.7742238864
MMRNR10082	0	4.8675344505
MMRNR10083	0	3.5695326965
MMRNR10084	0	5.3902126313
MMRNR10085	0	6.7742238864
MMRNR10086	0	6.7742238864
MMRNR10087	0	6.7742238864
MMRNR10088	0	6.7742238864
MMRNR10089	0	6.7742238864
MMRNR10090	0	6.7742238864
MMRNR10091	0	6.7742238864
MMRNR10092	0	4.8675344505
MMRNR10093	0	4.8675344505
MMRNR10094	0	4.8675344505
MMRNR10095	0	4.8675344505
MMRNR10096	0	4.8675344505
MMRNR10098	0	3.0325462467
MMRNR00067	0	4.5695430083
MMRNR00068	0	7.1561766375
MMRNR00071	-5.4478143777	5.4478143777
MMRNR00073	0	4.1311585353
MMRNR00074	-3.0910424534	3.0910424534
MMRNR00075	-4.102643365	4.102643365
MMRNR00076	-4.6076670662	4.6076670662
MMRNR00077	0	3.6951100039
MMRNR00078	-5.7021144176	5.7021144176
MMRNR00079	0	1.3862943611
MMRNR00080	0	1000
MMRNR00081	0	1.3862943611
MMRNR00082	0	1000
MMRNR00083	-6.1659429264	6.1659429264
MMRNR00084	-6.1659429264	6.1659429264
MMRNR00085	0	7.1561766375
MMRNR00086	0	5.0238805208
MMRNR00087	0	3.8231917917
